GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
admin-service,com.nexus.admin.controller,AdminController,0,31,0,0,0,7,0,5,0,5
admin-service,com.nexus.admin.service,AdminService.new ParameterizedTypeReference() {...},0,6,0,0,0,1,0,1,0,1
admin-service,com.nexus.admin.service,AdminService.new ParameterizedTypeReference() {...},0,6,0,0,0,1,0,1,0,1
admin-service,com.nexus.admin.service,AdminService.new ParameterizedTypeReference() {...},0,6,0,0,0,1,0,1,0,1
admin-service,com.nexus.admin.service,AdminService.new ParameterizedTypeReference() {...},0,6,0,0,0,1,0,1,0,1
admin-service,com.nexus.admin.service,AdminService,0,249,0,0,0,50,0,11,0,11
admin-service,com.nexus.admin.config,SecurityConfig,0,122,0,0,0,22,0,8,0,8
admin-service,com.nexus.admin.config,SwaggerConfig,0,3,0,0,0,1,0,1,0,1
admin-service,com.nexus.admin.config,RestTemplateConfig,0,7,0,0,0,2,0,2,0,2
admin-service,com.nexus.admin.security,JwtAuthenticationFilter,0,114,2,12,0,28,2,8,0,3
admin-service,com.nexus.admin.security,JwtUtil,16,47,1,1,4,12,2,6,1,6
admin-service,com.nexus.admin,AdminServiceApplication,5,3,0,0,2,1,1,1,1,1
