GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
application-service,com.nexus.application.exception,DuplicateApplicationException,0,4,0,0,0,1,0,1,0,1
application-service,com.nexus.application.exception,GlobalExceptionHandler.ValidationErrorResponse,22,0,0,0,3,0,2,0,2,0
application-service,com.nexus.application.exception,GlobalExceptionHandler,31,77,0,0,7,16,2,8,2,8
application-service,com.nexus.application.exception,ResourceNotFoundException,0,4,0,0,0,1,0,1,0,1
application-service,com.nexus.application.exception,GlobalExceptionHandler.ErrorResponse,0,18,0,0,0,3,0,2,0,2
application-service,com.nexus.application.exception,UnauthorizedException,0,4,0,0,0,1,0,1,0,1
application-service,com.nexus.application.dto,ApplicationDtos.ApplyRequest,0,38,0,0,0,11,0,11,0,11
application-service,com.nexus.application.dto,ApplicationDtos,3,0,0,0,1,0,1,0,1,0
application-service,com.nexus.application.dto,ApplicationDtos.ApiResponse,11,15,0,0,3,6,3,3,3,3
application-service,com.nexus.application.dto,ApplicationDtos.ApplicationResponse,0,94,0,0,0,27,0,27,0,27
application-service,com.nexus.application.dto,ApplicationDtos.StatusCountResponse,0,38,0,0,0,11,0,11,0,11
application-service,com.nexus.application.dto,ApplicationDtos.UpdateStatusRequest,0,17,0,0,0,5,0,5,0,5
application-service,com.nexus.application.controller,FileUploadController,99,0,2,0,13,0,3,0,2,0
application-service,com.nexus.application.controller,ApplicationController,13,43,0,0,2,9,2,6,2,6
application-service,com.nexus.application,ApplicationServiceApplication,5,3,0,0,2,1,1,1,1,1
application-service,com.nexus.application.client,JobDto,7,31,0,0,2,9,2,9,2,9
application-service,com.nexus.application.config,SwaggerConfig,3,0,0,0,1,0,1,0,1,0
application-service,com.nexus.application.config,SecurityConfig,116,0,0,0,21,0,8,0,8,0
application-service,com.nexus.application.config,RabbitMQConfig,21,0,0,0,4,0,4,0,4,0
application-service,com.nexus.application.entity,ApplicationStatus,0,27,0,0,0,5,0,1,0,1
application-service,com.nexus.application.entity,Application.ApplicationBuilder,20,81,0,0,4,12,4,11,4,11
application-service,com.nexus.application.entity,Application,40,106,0,0,10,34,10,19,10,19
application-service,com.nexus.application.service,ApplicationMessageProducer,0,21,0,0,0,7,0,3,0,3
application-service,com.nexus.application.service,ApplicationService,68,356,15,17,7,82,15,16,4,10
application-service,com.nexus.application.security,JwtAuthenticationFilter,85,38,10,4,17,12,6,4,0,3
application-service,com.nexus.application.security,JwtUtil,59,4,2,0,15,1,7,1,6,1
