GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
auth-service,com.nexus.auth.exception,GlobalExceptionHandler,0,96,0,0,0,20,0,8,0,8
auth-service,com.nexus.auth.exception,ResourceNotFoundException,0,4,0,0,0,1,0,1,0,1
auth-service,com.nexus.auth.exception,GlobalExceptionHandler.ErrorResponse,0,18,0,0,0,3,0,2,0,2
auth-service,com.nexus.auth.exception,ResourceAlreadyExistsException,0,4,0,0,0,1,0,1,0,1
auth-service,com.nexus.auth.exception,GlobalExceptionHandler.ValidationErrorResponse,0,22,0,0,0,3,0,2,0,2
auth-service,com.nexus.auth.security,JwtUtil,4,159,5,5,0,35,5,12,0,12
auth-service,com.nexus.auth.security,JwtAuthenticationFilter,0,83,3,7,0,23,3,5,0,3
auth-service,com.nexus.auth.security,OAuth2LoginSuccessHandler,6,125,3,11,0,36,3,7,0,3
auth-service,com.nexus.auth.config,SecurityConfig,0,199,0,0,0,40,0,14,0,14
auth-service,com.nexus.auth.config,SwaggerConfig,0,3,0,0,0,1,0,1,0,1
auth-service,com.nexus.auth.entity,User,0,148,0,2,0,42,0,30,0,29
auth-service,com.nexus.auth.entity,Role,0,21,0,0,0,4,0,1,0,1
auth-service,com.nexus.auth.entity,PasswordResetToken,0,50,0,0,0,16,0,11,0,11
auth-service,com.nexus.auth.entity,AuthProvider,0,21,0,0,0,2,0,1,0,1
auth-service,com.nexus.auth.entity,User.UserBuilder,0,80,0,0,0,13,0,12,0,12
auth-service,com.nexus.auth.entity,PasswordResetToken.PasswordResetTokenBuilder,5,30,0,0,1,5,1,5,1,5
auth-service,com.nexus.auth.service,AuthService,31,323,4,8,2,72,6,13,2,11
auth-service,com.nexus.auth.service,EmailService,0,25,0,0,0,8,0,3,0,3
auth-service,com.nexus.auth.service,UserDetailsServiceImpl,15,6,0,0,2,3,2,1,2,1
auth-service,com.nexus.auth.controller,AuthController,38,42,2,0,7,10,4,6,3,6
auth-service,com.nexus.auth.dto,AuthDtos.UserResponse,0,52,0,0,0,15,0,15,0,15
auth-service,com.nexus.auth.dto,AuthDtos.ForgotPasswordRequest,0,10,0,0,0,3,0,3,0,3
auth-service,com.nexus.auth.dto,AuthDtos,3,0,0,0,1,0,1,0,1,0
auth-service,com.nexus.auth.dto,AuthDtos.ResetPasswordRequest,0,17,0,0,0,5,0,5,0,5
auth-service,com.nexus.auth.dto,AuthDtos.AuthResponse,6,63,0,0,1,20,1,13,1,13
auth-service,com.nexus.auth.dto,AuthDtos.ApiResponse,3,23,0,0,1,8,1,5,1,5
auth-service,com.nexus.auth.dto,AuthDtos.RegisterRequest,0,38,0,0,0,11,0,11,0,11
auth-service,com.nexus.auth.dto,AuthDtos.LoginRequest,0,17,0,0,0,5,0,5,0,5
auth-service,com.nexus.auth,AuthServiceApplication,5,3,0,0,2,1,1,1,1,1
