GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
job-service,com.nexus.job.config,RabbitMQConfig,0,9,0,0,0,2,0,2,0,2
job-service,com.nexus.job.config,SecurityConfig,0,172,0,0,0,25,0,8,0,8
job-service,com.nexus.job.config,SwaggerConfig,0,3,0,0,0,1,0,1,0,1
job-service,com.nexus.job.dto,JobDtos.UpdateJobRequest,4,55,0,0,1,16,1,16,1,16
job-service,com.nexus.job.dto,JobDtos.CreateJobRequest,0,59,0,0,0,17,0,17,0,17
job-service,com.nexus.job.dto,JobDtos.JobResponse,0,101,0,0,0,29,0,29,0,29
job-service,com.nexus.job.dto,JobDtos.ApiResponse,11,15,0,0,3,6,3,3,3,3
job-service,com.nexus.job.controller,JobController,0,65,0,0,0,13,0,9,0,9
job-service,com.nexus.job,JobServiceApplication,5,3,0,0,2,1,1,1,1,1
job-service,com.nexus.job.exception,GlobalExceptionHandler.ErrorResponse,0,19,0,0,0,3,0,2,0,2
job-service,com.nexus.job.exception,UnauthorizedException,0,4,0,0,0,1,0,1,0,1
job-service,com.nexus.job.exception,GlobalExceptionHandler,10,67,0,0,2,15,1,6,1,6
job-service,com.nexus.job.exception,ResourceNotFoundException,0,4,0,0,0,1,0,1,0,1
job-service,com.nexus.job.entity,Job.JobBuilder,0,108,0,0,0,17,0,16,0,16
job-service,com.nexus.job.entity,Job,0,182,0,4,0,49,0,33,0,31
job-service,com.nexus.job.entity,JobType,0,33,0,0,0,6,0,1,0,1
job-service,com.nexus.job.security,JwtAuthenticationFilter,108,10,14,0,24,4,8,2,1,2
job-service,com.nexus.job.security,JwtUtil,56,7,2,0,14,2,6,2,5,2
job-service,com.nexus.job.service,ApplicationMessageConsumer,0,12,0,0,0,4,0,3,0,3
job-service,com.nexus.job.service,JobCommandService,13,192,11,13,0,37,11,8,0,7
job-service,com.nexus.job.service,JobQueryService,19,119,4,12,1,17,5,12,1,8
job-service,com.nexus.job.mapper,JobMapper,2,85,1,7,0,18,1,5,0,2
